filename,tree_height_m,dbh_cm,crown_width_m_E,branch_clearance_m_E,crown_height_m_E,crown_width_m_W,branch_clearance_m_W,crown_height_m_W,crown_width_m_N,branch_clearance_m_N,crown_height_m_N,crown_width_m_S,branch_clearance_m_S,crown_height_m_S,V_m3,A_m2,Aproj_m2
101,19.75,26.67,3.21,10.75,10.87,3.92,4.89,12.61,3.25,10.7,11.27,3.51,10.76,10.98,190.23275,191.0848846,34.72409439
102,20.2,29.68,2.65,9.66,13.08,2.17,10.98,8.69,2.25,11.19,8.57,2.75,10.64,13.36,16.20779297,35.77640152,16.86486435
103,20.84,31.49,2.14,11.01,13.2,2.61,10.33,10.8,2.15,10.82,10.57,2.04,10.63,13.43,78.66960742,91.62875748,14.33617306
104,19.39,22.7,2.08,10.64,12.75,2.54,9.81,12.58,2.51,9.81,12.58,2.09,10.03,13.1,50.39419531,71.27478027,16.03233337
105,19.44,21.06,2.75,8.35,12.61,2.25,10.35,12.11,2.37,9.08,12.79,1.94,10.69,11.86,69.1948906,100.5207977,13.44951153
106,18.3,21.73,2.33,9.98,12.4,2.85,8.89,12,2.57,10.13,11.7,3.14,9.52,12.61,68.03269531,89.95415497,21.68037605
107,8.93,13.64,1.49,4.74,15.05,1.83,4.06,9.47,1.65,4.88,12.47,2.02,4.69,13.28,33.04089844,59.66489792,9.206721306
108,16.7,18.63,2.59,7.93,10.07,2.71,7.81,11.04,2.21,9.1,9.73,2.7,8.99,10.83,41.65565625,66.6031723,19.65287781
109,17.12,25.03,2.36,8.39,11.02,2.09,8.75,11.48,2.36,8.39,11.02,2.11,8.6,11.52,36.06065234,68.10765839,12.49629021
110,19.4,30.58,3.02,10.41,11.75,3.7,9.15,12.49,3.12,10.76,11.81,3.82,9.93,12.33,90.12053125,111.5652313,30.99466324
111,19.03,23.17,2.04,10.05,12.44,2.5,9.1,12.22,1.94,10.24,12.04,2.37,9.21,12.76,38.86880273,70.85783768,13.32891273
112,17.54,20.3,2.1,7.89,10.19,2.1,7.9,10.7,2.57,9.02,12.26,3.14,7.69,9.53,63.07910938,85.06539917,16.27418709
113,18.36,21.31,2.3,8.21,12.36,1.88,9.84,11.32,2.03,6.42,11.86,1.66,9.39,11.25,69.23561719,101.280304,11.01901245
114,19.56,24.06,2.49,10.31,13.25,3.04,9.42,12.1,2.79,9.92,12.77,2.28,10.6,12.58,65.81699219,85.829216,22.1164856
115,19.53,21.04,2.79,8.84,12.64,2.28,9.45,12.22,2.19,9.46,12.29,2.65,8.75,12.44,83.05180859,94.8299675,16.93161392
116,16.74,18.92,3.17,8.34,11.54,2.59,9.2,11.69,2.29,8.6,11.52,2.1,8.7,11.75,59.60205078,79.36436462,18.67615128
117,20.86,25.01,2.86,10.27,13.5,2.87,10.12,12.61,3.79,10.24,13.28,3.44,10.57,13.09,146.2744141,122.9977341,25.16062355
118,20.33,24.73,2.83,11.27,12.15,3.46,10.04,12.55,2.39,9.98,12.13,2.92,7.65,12.85,104.7817266,119.6103973,22.04246902
119,15.5,23.12,2.11,8.58,10.61,2.58,7.43,11.4,1.97,8.02,11.45,1.61,8.58,10.61,10.20495703,26.92973518,11.54555702
120,16.17,20.5,1.88,7.66,11.05,1.54,8.89,11.16,1.81,8.55,10.84,1.48,8.77,11.21,48.36307813,66.901001,7.80802393
121,18.5,26.61,2.21,10.05,11.55,2.7,6.11,11.82,2.99,8.91,11.78,2.45,10.26,11.37,61.13103906,89.02483368,18.75351906
122,18.92,26.32,3.91,9.04,11.73,3.2,9.34,12.08,2.31,9.31,11.83,2.82,8.05,11.65,96.03278125,103.6788025,24.06392288
123,21.22,26.21,2.09,11.43,12.71,1.71,11.75,12.12,2.74,11.01,11.83,2.58,10.83,13.16,57.25794922,90.06401825,14.65940666
124,20.88,26.18,3.11,9.48,12.7,2.61,10.19,12.32,2.57,10.52,12.55,3.14,8.32,12.96,96.77782031,17.7335434,25.70249557
125,17.94,29.69,3.77,7.71,11.91,3.08,8.56,12.02,2.13,8.45,12.01,2.6,7.61,11.76,92.33589063,99.52001953,22.46439552
126,19.03,30.89,2.03,9.64,12.51,2.48,8.49,12.23,2.45,9.59,12.08,2.99,8.7,12.67,62.67598242,95.04428482,17.26006317
127,19.56,21.84,2.46,9.55,12.37,2.01,10.63,12.18,2.16,9.96,11.96,2.64,9.58,12.58,45.38810938,70.53668213,15.26898575
128,21.38,26.55,2.76,9.44,12.88,2.26,11.2,12.94,2.48,10.91,13.01,2.03,11.71,12.8,103.5363281,109.750946,14.96128464
129,18.82,22.24,1.91,9.51,12.49,1.78,9.76,13.34,3.02,8.29,11.7,2.47,9.81,12.99,54.58759766,87.63377762,15.59517288
130,17.49,17.04,2.78,9.24,11.77,3.4,8.5,10.45,2.96,8.5,10.45,2.42,8.88,11.53,67.53375781,94.61594391,21.53343201
131,15.07,26.01,2,8.35,10.38,2.44,8.2,10.89,2.94,7.11,10.51,2.41,7.79,11,57.29084375,85.25965118,15.34199524
132,16.53,25.35,2.16,8.92,10.77,2.64,8.43,10.76,3.12,8.43,10.76,2.55,8.92,10.77,69.83683594,92.25850677,20.00616646
133,19.71,26.55,2.93,8.34,12.37,2.4,10.9,12.06,2.91,10.95,12.5,3.55,10.1,11.96,101.0484375,104.1278153,23.06703949
134,16.73,22.95,2.87,8.99,12.36,2.5,9.02,11.5,3.26,7.43,11.65,2.67,8.68,12.22,84.5079375,91.018631,24.99988747
135,20.39,27.7,3.51,7.15,12.65,2.87,10.34,12.57,2.96,10.38,12.09,3.55,9.62,12.78,146.3481016,158.7638092,26.8554039
136,18.47,24.46,3.09,10.26,11.69,3.77,8.1,11.95,2.69,10.26,11.69,3.28,8.17,11.52,120.4875156,124.9623108,31.11910439
137,20.96,22.39,4.75,9.63,12.61,3.88,11.63,12.7,3.68,7.78,12.95,3.01,9.55,12.21,170.6402969,167.9016876,34.45714951
138,12.58,12.78,0.98,7.57,11.19,1.2,6.28,8.91,1.01,7.57,11.19,0.83,6.34,8.7,2.109366455,9.239783287,2.876083136
139,14.17,13.39,1.1,6.21,8.33,0.9,7.94,10.83,1.02,6.36,8.58,1.25,7.6,10.61,3.640655273,14.57307816,3.247914076
140,12.81,13.73,1.11,5.72,7.73,0.91,5.5,7.18,1.14,5.14,6.66,1.32,5.72,7.71,4.472410156,17.60185242,3.382741928
141,17.84,14.11,1.44,6.25,7.11,1.77,7.62,10.31,1.07,6.38,7.3,1.31,7.48,10.13,5.624458496,21.39796638,4.10004425
142,13.14,15.01,1.34,5.73,7.68,1.18,6.4,8.81,0.94,6.29,8.32,1.15,6.16,8.29,5.977489746,18.95138359,4.108563423
143,15.99,10.64,1.29,6.83,9.31,1.06,8.39,11.56,1.12,6.29,8.42,1.12,9.07,12.45,6.119521973,21.30945969,3.95665741
144,10.6,15.39,1.36,5.1,7.01,1.11,5.16,6.87,1.07,5.16,6.87,1.31,5.1,7.01,6.314328125,20.35861969,3.75227046
145,15.55,10.24,1.08,8.11,11.15,1.32,9.14,12.81,1.36,9.08,12.7,1.11,8.41,11.55,7.496180176,25.64578629,4.613801956
146,11.42,8.14,0.98,5.92,8.7,1.04,6.12,9.08,1.21,6.09,9.08,0.99,6.37,9.59,7.570154785,27.37130547,3.399644136
147,17.08,16.07,1.09,8.47,11.25,1.33,9.17,12.23,1.59,7.81,10.54,1.3,9.73,12.95,8.006943359,22.81189919,4.743084431
148,13.17,21.43,1.13,5.8,7.5,1.39,5.92,7.78,1.27,5.93,7.73,1.55,6.03,7.97,8.67180957,24.88824654,5.017717361
149,16.96,13.25,1.53,9.68,13.19,1.25,9.38,12.59,1.21,8.11,10.87,1.48,9.93,13.51,8.722990234,28.91139793,5.616234779
150,15.55,14.45,1.11,9.83,13.67,1.07,8.52,11.59,1.12,9.24,12.61,0.97,9.33,12.65,8.725001953,27.34323311,3.261877775
151,13.25,15.44,1.07,6.27,8.44,1.31,6.07,8.25,1.09,6.18,8.36,1.33,5.73,7.76,8.784504883,25.45051384,4.479582787
152,14.84,17.1,1.27,7.34,9.73,1.29,7.45,9.86,1.22,7.01,9.21,1.49,7.94,10.86,9.14396875,26.89798546,5.236799717
153,20.76,18.2,1.36,7.68,10.62,1.24,8.98,12.06,0.99,8.31,11.27,1.21,8.4,11.42,9.436844727,27.44388962,3.927470684
154,17.87,10.47,1.41,8.64,11.83,1.16,7.69,10.58,1.11,8.08,11.09,1.36,8.23,11.3,9.61381543,28.70628357,4.188433647
155,15.94,20.06,2.04,6.77,9.06,1.67,7.23,9.56,1.65,7.03,9.31,1.35,7.05,9.28,9.709535156,27.25710297,7.301110744
156,13.96,15.99,1.08,6.99,9.37,1.33,6.86,9.42,1.26,7.03,9.7,1.46,6.13,8.23,9.72194043,28.10003662,4.625990868
157,15.33,10.63,1.16,7.34,9.8,1.41,7.63,10.58,1.26,7.63,10.58,1.44,7.57,10.5,9.773643555,29.93816566,4.777001858
158,11.7,19.02,1.44,5.56,7.48,1.31,5.19,6.68,0.93,5.13,6.5,1.14,5.59,7.55,9.855453125,27.20794296,4.465986729
159,13.56,17.85,1.67,6.3,8.5,1.37,7.28,10.07,1.28,7.28,9.86,1.57,6.31,8.34,10.11806348,27.7814312,5.968640804
160,13.3,20.97,1.53,5.84,7.79,1.25,5.88,7.72,1.42,5.72,7.38,1.42,5.9,7.74,10.23176953,29.05128098,4.950651169
161,15.93,17.62,1.67,5.95,7.86,1.37,5.67,7.21,1.22,5.76,7.43,1,5.94,7.64,10.40849805,30.17112541,4.55855608
